,Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
0,Amaze ,532000,new delhi,Petrol,Manual,18538,2018,Honda
1,Verna ,778000,new delhi,Petrol,Manual,34427,2016,Hyundai
2,Nexon ,688000,new delhi,Petrol,Manual,56591,2017,Tata
3,Wagon R ,582000,new delhi,CNG,Manual,23261,2020,Maruti
4,Celerio ,495000,new delhi,Petrol,Automatic,12665,2018,Maruti
5,Alto 800 ,360000,new delhi,CNG,Manual,30310,2019,Maruti
6,Creta ,907000,new delhi,Petrol,Manual,37309,2018,Hyundai
7,Vitara Brezza ,958000,new delhi,Petrol,Manual,21127,2020,Maruti
8,KWID ,484999,new delhi,Petrol,Automatic,8480,2020,Renault
9,Amaze ,440000,new delhi,Petrol,Manual,49272,2015,Honda
10,Creta ,808000,new delhi,Petrol,Manual,71237,2016,Hyundai
11,City ,968000,new delhi,Petrol,Manual,23149,2018,Honda
12,Celerio ,513000,new delhi,CNG,Manual,50969,2018,Maruti
13,S-Presso ,453000,new delhi,Petrol,Manual,9338,2020,Maruti
14,5 Series ,2800000,new delhi,Diesel,Automatic,27808,2017,BMW
15,3 Series ,2150000,new delhi,Diesel,Automatic,75000,2015,BMW
16,3 Series GT ,2400000,new delhi,Diesel,Automatic,47000,2016,BMW
17,Pulse ,340000,new delhi,Petrol,Manual,46000,2017,Renault
18,KUV 100 ,535000,new delhi,Petrol,Manual,17200,2016,Mahindra
19,Swift ,685000,new delhi,Petrol,Manual,16000,2020,Maruti
20,Alto K10 ,378000,new delhi,Petrol,Manual,34138,2019,Maruti
21,Ignis ,480999,new delhi,Petrol,Manual,45721,2018,Maruti
22,i20 ,537000,new delhi,Petrol,Manual,60458,2016,Hyundai
23,Rapid ,1002999,new delhi,Petrol,Manual,9351,2020,Skoda
24,Grand i10 ,413000,new delhi,Petrol,Manual,72648,2015,Hyundai
25,Celerio ,413000,new delhi,Petrol,Manual,77747,2018,Maruti
26,Baleno ,547000,new delhi,Petrol,Manual,47204,2018,Maruti
27,XUV500 ,1061000,new delhi,Diesel,Automatic,74429,2017,Mahindra
28,Nexon ,1056000,new delhi,Petrol,Automatic,11204,2021,Tata
29,Wagon R ,413000,new delhi,Petrol,Manual,52015,2017,Maruti
30,Polo ,490000,new delhi,Petrol,Manual,22443,2016,Volkswagen
31,Alto K10 ,358000,new delhi,Petrol,Manual,44841,2018,Maruti
32,i20 ,235000,new delhi,Petrol,Manual,84557,2011,Hyundai
33,Alto K10 ,260000,new delhi,Petrol,Manual,55107,2014,Maruti
34,Baleno ,522000,new delhi,Petrol,Manual,22784,2016,Maruti
35,Baleno ,605000,new delhi,Petrol,Manual,44114,2018,Maruti
36,Alto 800 ,313000,new delhi,Petrol,Manual,21938,2017,Maruti
37,Ciaz ,741000,new delhi,Petrol,Automatic,38387,2016,Maruti
38,Baleno ,591000,new delhi,Petrol,Manual,75915,2017,Maruti
39,Jazz ,680000,new delhi,Petrol,Automatic,26736,2017,Honda
40,i20 ,513000,new delhi,Petrol,Manual,93131,2017,Hyundai
41,Harrier ,1439000,new delhi,Diesel,Manual,31219,2019,Tata
42,Baleno ,640000,new delhi,Petrol,Manual,34196,2019,Maruti
43,Creta ,877999,new delhi,Diesel,Manual,40113,2017,Hyundai
44,Ciaz ,922000,new delhi,Petrol,Manual,33206,2019,Maruti
