Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
Amaze ,5.32 Lakh,new delhi,Petrol,Manual,18538,2018,Honda
Verna ,7.78 Lakh,new delhi,Petrol,Manual,34427,2016,Hyundai
Nexon ,6.88 Lakh,new delhi,Petrol,Manual,56591,2017,Tata
Wagon R ,5.82 Lakh,new delhi,CNG,Manual,23261,2020,Maruti
Celerio ,4.95 Lakh,new delhi,Petrol,Automatic,12665,2018,Maruti
Alto 800 ,3.60 Lakh,new delhi,CNG,Manual,30310,2019,Maruti
Creta ,9.07 Lakh,new delhi,Petrol,Manual,37309,2018,Hyundai
Vitara Brezza ,9.58 Lakh,new delhi,Petrol,Manual,21127,2020,Maruti
KWID ,4.85 Lakh,new delhi,Petrol,Automatic,8480,2020,Renault
Amaze ,4.40 Lakh,new delhi,Petrol,Manual,49272,2015,Honda
Creta ,8.08 Lakh,new delhi,Petrol,Manual,71237,2016,Hyundai
City ,9.68 Lakh,new delhi,Petrol,Manual,23149,2018,Honda
Celerio ,5.13 Lakh,new delhi,CNG,Manual,50969,2018,Maruti
S-Presso ,4.53 Lakh,new delhi,Petrol,Manual,9338,2020,Maruti
5 Series ,28.00 Lakh,new delhi,Diesel,Automatic,27808,2017,BMW
3 Series ,21.50 Lakh,new delhi,Diesel,Automatic,75000,2015,BMW
3 Series GT ,24.00 Lakh,new delhi,Diesel,Automatic,47000,2016,BMW
Pulse ,3.40 Lakh,new delhi,Petrol,Manual,46000,2017,Renault
KUV 100 ,5.35 Lakh,new delhi,Petrol,Manual,17200,2016,Mahindra
Swift ,6.85 Lakh,new delhi,Petrol,Manual,16000,2020,Maruti
Alto K10 ,3.78 Lakh,new delhi,Petrol,Manual,34138,2019,Maruti
Ignis ,4.81 Lakh,new delhi,Petrol,Manual,45721,2018,Maruti
i20 ,5.37 Lakh,new delhi,Petrol,Manual,60458,2016,Hyundai
Rapid ,10.03 Lakh,new delhi,Petrol,Manual,9351,2020,Skoda
Grand i10 ,4.13 Lakh,new delhi,Petrol,Manual,72648,2015,Hyundai
Celerio ,4.13 Lakh,new delhi,Petrol,Manual,77747,2018,Maruti
Baleno ,5.47 Lakh,new delhi,Petrol,Manual,47204,2018,Maruti
XUV500 ,10.61 Lakh,new delhi,Diesel,Automatic,74429,2017,Mahindra
Nexon ,10.56 Lakh,new delhi,Petrol,Automatic,11204,2021,Tata
Wagon R ,4.13 Lakh,new delhi,Petrol,Manual,52015,2017,Maruti
Polo ,4.90 Lakh,new delhi,Petrol,Manual,22443,2016,Volkswagen
Alto K10 ,3.58 Lakh,new delhi,Petrol,Manual,44841,2018,Maruti
i20 ,2.35 Lakh,new delhi,Petrol,Manual,84557,2011,Hyundai
Alto K10 ,2.60 Lakh,new delhi,Petrol,Manual,55107,2014,Maruti
Baleno ,5.22 Lakh,new delhi,Petrol,Manual,22784,2016,Maruti
Baleno ,6.05 Lakh,new delhi,Petrol,Manual,44114,2018,Maruti
Alto 800 ,3.13 Lakh,new delhi,Petrol,Manual,21938,2017,Maruti
Ciaz ,7.41 Lakh,new delhi,Petrol,Automatic,38387,2016,Maruti
Baleno ,5.91 Lakh,new delhi,Petrol,Manual,75915,2017,Maruti
Jazz ,6.80 Lakh,new delhi,Petrol,Automatic,26736,2017,Honda
i20 ,5.13 Lakh,new delhi,Petrol,Manual,93131,2017,Hyundai
Harrier ,14.39 Lakh,new delhi,Diesel,Manual,31219,2019,Tata
Baleno ,6.40 Lakh,new delhi,Petrol,Manual,34196,2019,Maruti
Creta ,8.78 Lakh,new delhi,Diesel,Manual,40113,2017,Hyundai
Ciaz ,9.22 Lakh,new delhi,Petrol,Manual,33206,2019,Maruti
City ,11.32 Lakh,new delhi,Petrol,Manual,16241,2020,Honda
Creta ,12.68 Lakh,new delhi,Petrol,Manual,24697,2019,Hyundai
Creta ,9.08 Lakh,new delhi,Petrol,Manual,44461,2016,Hyundai
Alto 800 ,3.18 Lakh,new delhi,Petrol,Manual,52387,2018,Maruti
Ciaz ,7.37 Lakh,new delhi,Petrol,Manual,19880,2018,Maruti
City ,9.34 Lakh,new delhi,Petrol,Manual,55564,2018,Honda
Baleno ,6.49 Lakh,new delhi,Petrol,Manual,31499,2020,Maruti
Alto K10 ,3.83 Lakh,new delhi,Petrol,Manual,37704,2019,Maruti
Ciaz ,8.60 Lakh,new delhi,Petrol,Manual,82496,2019,Maruti
Baleno ,6.85 Lakh,new delhi,Petrol,Manual,28627,2019,Maruti
Baleno ,6.04 Lakh,new delhi,Petrol,Manual,49010,2017,Maruti
TUV 300 ,6.48 Lakh,new delhi,Diesel,Manual,68282,2017,Mahindra
WR-V ,6.43 Lakh,new delhi,Petrol,Manual,37408,2018,Honda
Baleno ,5.93 Lakh,new delhi,Petrol,Manual,22258,2017,Maruti
